cat3_slug,count,percentage
apartment-sell,303385,30.33853033853034
apartment-rent,211880,21.18802118802119
plot-old,133570,13.357013357013356
house-villa-sell,121753,12.175312175312175
house-villa-rent,64678,6.467806467806468
shop-rent,45993,4.5993045993046
shop-sell,21855,2.1855021855021852
office-rent,21418,2.141802141802142
suite-apartment,16465,1.6465016465016464
presell,15781,1.5781015781015781
villa,12899,1.2899012899012898
industry-agriculture-business-sell,11851,1.185101185101185
industry-agriculture-business-rent,9155,0.9155009155009155
office-sell,5155,0.5155005155005156
partnership,3622,0.3622003622003622
workspace,539,0.053900053900053896
