city,month,avg_price,count,median_price
isfahan,2023-10-31,1.0,1,1.0
isfahan,2024-03-31,1.0,2,1.0
isfahan,2024-04-30,1.0,10,1.0
isfahan,2024-05-31,1.0,182,1.0
isfahan,2024-06-30,1.0,260,1.0
isfahan,2024-07-31,1.0,348,1.0
isfahan,2024-08-31,1.0,373,1.0
isfahan,2024-09-30,1.0,339,1.0
isfahan,2024-10-31,1.0,335,1.0
isfahan,2024-11-30,1.0,261,1.0
isfahan,2024-12-31,1.0,238,1.0
karaj,2024-02-29,1.0,1,1.0
karaj,2024-03-31,1.0,1,1.0
karaj,2024-04-30,1.0,17,1.0
karaj,2024-05-31,1.0,561,1.0
karaj,2024-06-30,1.0,776,1.0
karaj,2024-07-31,1.0,816,1.0
karaj,2024-08-31,1.0,869,1.0
karaj,2024-09-30,1.0,703,1.0
karaj,2024-10-31,1.0,719,1.0
karaj,2024-11-30,1.0,606,1.0
karaj,2024-12-31,1.0,558,1.0
karaj,2025-01-31,1.0,4,1.0
mashhad,2024-01-31,1.0,1,1.0
mashhad,2024-02-29,1.0,3,1.0
mashhad,2024-03-31,1.0,2,1.0
mashhad,2024-04-30,1.0,13,1.0
mashhad,2024-05-31,1.0,424,1.0
mashhad,2024-06-30,1.0,559,1.0
mashhad,2024-07-31,1.0,700,1.0
mashhad,2024-08-31,1.0,756,1.0
mashhad,2024-09-30,1.0,704,1.0
mashhad,2024-10-31,1.0,645,1.0
mashhad,2024-11-30,1.0,617,1.0
mashhad,2024-12-31,1.0,494,1.0
mashhad,2025-01-31,1.0,1,1.0
shiraz,2023-12-31,1.0,1,1.0
shiraz,2024-04-30,1.0,2,1.0
shiraz,2024-05-31,1.0,170,1.0
shiraz,2024-06-30,1.0,284,1.0
shiraz,2024-07-31,1.0,296,1.0
shiraz,2024-08-31,1.0,382,1.0
shiraz,2024-09-30,1.0,325,1.0
shiraz,2024-10-31,1.0,290,1.0
shiraz,2024-11-30,1.0,217,1.0
shiraz,2024-12-31,1.0,188,1.0
shiraz,2025-01-31,1.0,1,1.0
tehran,2023-10-31,1.0,1,1.0
tehran,2023-11-30,1.0,3,1.0
tehran,2023-12-31,1.0,1,1.0
tehran,2024-01-31,1.0,2,1.0
tehran,2024-02-29,1.0,5,1.0
tehran,2024-03-31,1.0,6,1.0
tehran,2024-04-30,1.0,103,1.0
tehran,2024-05-31,1.0,2625,1.0
tehran,2024-06-30,1.0,3461,1.0
tehran,2024-07-31,1.0,3733,1.0
tehran,2024-08-31,1.0,4098,1.0
tehran,2024-09-30,1.0,3604,1.0
tehran,2024-10-31,1.0,4015,1.0
tehran,2024-11-30,1.0,3543,1.0
tehran,2024-12-31,1.0,3187,1.0
tehran,2025-01-31,1.0,57,1.0
tehran,2025-02-28,1.0,2,1.0
